poNo,poDate,etaDate,vendor,recDate,status,cutPo,user1,user2,user3,user4,user5,user6,startDate,cancelDate,shipDate,division,shipVia,orderNo,customer,custName,customerPo,parentPoNo,season,grp,category,compType,style,color,podStatus,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,totalUnit,price,extPrice,uom,warehouse,podEtaDate,cancelReason,cancelReasonDate,cost,extCost,recQty,balQty,soType,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15
105,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,85,NUULY,NUULY,6786444,0,SS26,26-Jun,DRESSES,Style,CD1043,BLACK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,16,33,30,16,4,0,0,0,0,0,0,0,0,0,0,99,13.8,1366.2,,STANFORD,5/19/2026,,,13.8,1366.2,108,-9,NEW,XS / 16,S / 33,M / 30,L / 16,XL / 4,,,,,,,,,,
106,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,86,NUULY,NUULY,6786445,0,SS26,26-Jun,DRESSES,Style,CD1043,BLACK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,24,50,45,23,7,0,0,0,0,0,0,0,0,0,0,149,13.8,2056.2,,STANFORD,5/19/2026,,,13.8,2056.2,153,-4,NEW,XS / 24,S / 50,M / 45,L / 23,XL / 7,,,,,,,,,,
107,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,87,NUULY,NUULY,6786459,0,SS26,26-Jun,DRESSES,Style,CD1043,BLACK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.8,27.6,,STANFORD,5/19/2026,,,13.8,27.6,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
108,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,88,NUULY,NUULY,6786474,0,SS26,26-May,PANTS,Style,CP1007,BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,12,26,25,13,3,0,0,0,0,0,0,0,0,0,0,79,14.5,1145.5,,STANFORD,5/19/2026,,,14.5,1145.5,79,0,NEW,XS / 12,S / 26,M / 25,L / 13,XL / 3,,,,,,,,,,
109,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,89,NUULY,NUULY,6786475,0,SS26,26-May,PANTS,Style,CP1007,BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,40,38,19,5,0,0,0,0,0,0,0,0,0,0,119,14.5,1725.5,,STANFORD,5/19/2026,,,14.5,1725.5,119,0,NEW,XS / 17,S / 40,M / 38,L / 19,XL / 5,,,,,,,,,,
110,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,90,NUULY,NUULY,6786489,0,SS26,26-May,PANTS,Style,CP1007,BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.5,29,,STANFORD,5/19/2026,,,14.5,29,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
111,4/21/2026,5/19/2026,STENUE,5/1/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,91,NUULY,NUULY,6786492,0,SS26,26-May,PANTS,Style,CP1028,WHITE BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,12,26,25,13,3,0,0,0,0,0,0,0,0,0,0,79,15.7,1240.3,,STANFORD,5/19/2026,,,15.7,1240.3,74,5,NEW,XS / 12,S / 26,M / 25,L / 13,XL / 3,,,,,,,,,,
112,4/21/2026,5/19/2026,STENUE,4/23/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,92,NUULY,NUULY,6786493,0,SS26,26-May,PANTS,Style,CP1028,WHITE BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,40,38,19,5,0,0,0,0,0,0,0,0,0,0,119,15.7,1868.3,,STANFORD,5/19/2026,,,15.7,1868.3,117,2,NEW,XS / 17,S / 40,M / 38,L / 19,XL / 5,,,,,,,,,,
113,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,93,NUULY,NUULY,6786496,0,SS26,26-May,PANTS,Style,CP1028,WHITE BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.7,31.4,,STANFORD,5/19/2026,,,15.7,31.4,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
114,4/21/2026,5/19/2026,STENUE,4/22/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,94,NUULY,NUULY,6798601,0,SS26,26-Jun,SKIRTS,Style,CS1023,CREAM,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,33,74,67,35,6,0,0,0,0,0,0,0,0,0,0,215,10.8,2322,,STANFORD,5/19/2026,,,10.8,2322,217,-2,NEW,XS / 33,S / 74,M / 67,L / 35,XL / 6,,,,,,,,,,
115,4/21/2026,5/19/2026,STENUE,4/22/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,95,NUULY,NUULY,6798602,0,SS26,26-Jun,SKIRTS,Style,CS1023,CREAM,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,58,131,120,62,12,0,0,0,0,0,0,0,0,0,0,383,10.8,4136.4,,STANFORD,5/19/2026,,,10.8,4136.4,393,-10,NEW,XS / 58,S / 131,M / 120,L / 62,XL / 12,,,,,,,,,,
116,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,96,NUULY,NUULY,6798612,0,SS26,26-Jun,SKIRTS,Style,CS1023,CREAM,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.8,21.6,,STANFORD,5/19/2026,,,10.8,21.6,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
117,4/21/2026,5/19/2026,STENUE,4/23/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,97,NUULY,NUULY,6798656,0,SS26,26-May,SHORTS,Style,FSET8080B,BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,20,51,54,29,5,0,0,0,0,0,0,0,0,0,0,159,9,1431,,STANFORD,5/19/2026,,,9,1431,165,-6,NEW,XS / 20,S / 51,M / 54,L / 29,XL / 5,,,,,,,,,,
118,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,98,NUULY,NUULY,6798657,0,SS26,26-May,SHORTS,Style,FSET8080B,BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,31,76,82,43,7,0,0,0,0,0,0,0,0,0,0,239,9,2151,,STANFORD,5/19/2026,,,9,2151,242,-3,NEW,XS / 31,S / 76,M / 82,L / 43,XL / 7,,,,,,,,,,
119,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,99,NUULY,NUULY,6798658,0,SS26,26-May,SHORTS,Style,FSET8080B,BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,18,,STANFORD,5/19/2026,,,9,18,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
120,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,100,NUULY,NUULY,6798671,0,SS26,26-Jun,SHORTS,Style,CP1006,CREAM,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,20,51,54,29,5,0,0,0,0,0,0,0,0,0,0,159,8.9,1415.1,,STANFORD,5/19/2026,,,8.9,1415.1,159,0,NEW,XS / 20,S / 51,M / 54,L / 29,XL / 5,,,,,,,,,,
121,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,101,NUULY,NUULY,6798672,0,SS26,26-Jun,SHORTS,Style,CP1006,CREAM,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,31,76,82,43,7,0,0,0,0,0,0,0,0,0,0,239,8.9,2127.1,,STANFORD,5/19/2026,,,8.9,2127.1,215,24,NEW,XS / 31,S / 76,M / 82,L / 43,XL / 7,,,,,,,,,,
122,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,102,NUULY,NUULY,6798673,0,SS26,26-Jun,SHORTS,Style,CP1006,CREAM,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.9,17.8,,STANFORD,5/19/2026,,,8.9,17.8,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
123,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,103,NUULY,NUULY,6798686,0,SS26,26-Jun,SHORTS,Style,CP1004,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,31,76,82,43,7,0,0,0,0,0,0,0,0,0,0,239,8.95,2139.05,,STANFORD,5/19/2026,,,8.95,2139.05,239,0,NEW,XS / 31,S / 76,M / 82,L / 43,XL / 7,,,,,,,,,,
124,4/21/2026,5/19/2026,STENUE,4/22/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,104,NUULY,NUULY,6798687,0,SS26,26-Jun,SHORTS,Style,CP1004,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,46,115,122,65,11,0,0,0,0,0,0,0,0,0,0,359,8.95,3213.05,,STANFORD,5/19/2026,,,8.95,3213.05,359,0,NEW,XS / 46,S / 115,M / 122,L / 65,XL / 11,,,,,,,,,,
125,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,105,NUULY,NUULY,6798693,0,SS26,26-Jun,SHORTS,Style,CP1004,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.95,17.9,,STANFORD,5/19/2026,,,8.95,17.9,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
126,4/21/2026,5/19/2026,STENUE,5/6/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,106,NUULY,NUULY,6798695,0,SS26,26-Jun,SHORTS,Style,CP1029,LIGHT BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,23,57,61,32,5,0,0,0,0,0,0,0,0,0,0,178,0,0,,STANFORD,5/19/2026,,,0,0,196,-18,NEW,XS / 23,S / 57,M / 61,L / 32,XL / 5,,,,,,,,,,
127,4/21/2026,5/19/2026,STENUE,5/6/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,107,NUULY,NUULY,6798696,0,SS26,26-Jun,SHORTS,Style,CP1029,LIGHT BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,35,86,92,49,8,0,0,0,0,0,0,0,0,0,0,270,0,0,,STANFORD,5/19/2026,,,0,0,270,0,NEW,XS / 35,S / 86,M / 92,L / 49,XL / 8,,,,,,,,,,
128,4/21/2026,5/19/2026,STENUE,4/28/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,108,NUULY,NUULY,6798701,0,SS26,26-Jun,SHORTS,Style,CP1029,LIGHT BLUE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,STANFORD,5/19/2026,,,0,0,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
129,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,109,NUULY,NUULY,6798713,0,SS26,26-Jun,SHORTS,Style,CP1034,PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,23,57,61,32,5,0,0,0,0,0,0,0,0,0,0,178,10.6,1886.8,,STANFORD,5/19/2026,,,10.6,1886.8,182,-4,NEW,XS / 23,S / 57,M / 61,L / 32,XL / 5,,,,,,,,,,
130,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,110,NUULY,NUULY,6798714,0,SS26,26-Jun,SHORTS,Style,CP1034,PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,35,86,92,49,8,0,0,0,0,0,0,0,0,0,0,270,10.6,2862,,STANFORD,5/19/2026,,,10.6,2862,275,-5,NEW,XS / 35,S / 86,M / 92,L / 49,XL / 8,,,,,,,,,,
131,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,111,NUULY,NUULY,6798720,0,SS26,26-Jun,SHORTS,Style,CP1034,PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.6,21.2,,STANFORD,5/19/2026,,,10.6,21.2,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
132,4/21/2026,5/19/2026,STENUE,4/28/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,112,NUULY,NUULY,6811498,0,SS26,26-Jun,DRESSES,Style,CD1011,SAGE GREEN,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,40,83,75,39,12,0,0,0,0,0,0,0,0,0,0,249,15.6,3884.4,,STANFORD,5/19/2026,,,15.6,3884.4,251,-2,NEW,XS / 40,S / 83,M / 75,L / 39,XL / 12,,,,,,,,,,
133,4/21/2026,5/19/2026,STENUE,4/28/2026,Open,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,113,NUULY,NUULY,6811499,0,SS26,26-Jun,DRESSES,Style,CD1011,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,61,125,112,59,17,0,0,0,0,0,0,0,0,0,0,374,15.6,5834.4,,STANFORD,5/19/2026,,,15.6,5834.4,338,36,NEW,XS / 61,S / 125,M / 112,L / 59,XL / 17,,,,,,,,,,
134,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,114,NUULY,NUULY,6811500,0,SS26,26-Jun,DRESSES,Style,CD1011,SAGE GREEN,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.6,31.2,,STANFORD,5/19/2026,,,15.6,31.2,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
135,4/21/2026,5/19/2026,STENUE,4/27/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,115,NUULY,NUULY,6811501,0,SS26,26-Jun,DRESSES,Style,CD1048,YELLOW PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,32,66,60,32,9,0,0,0,0,0,0,0,0,0,0,199,13.8,2746.2,,STANFORD,5/19/2026,,,13.8,2746.2,226,-27,NEW,XS / 32,S / 66,M / 60,L / 32,XL / 9,,,,,,,,,,
136,4/21/2026,5/19/2026,STENUE,4/27/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,116,NUULY,NUULY,6811502,0,SS26,26-Jun,DRESSES,Style,CD1048,YELLOW PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,48,100,90,47,14,0,0,0,0,0,0,0,0,0,0,299,13.8,4126.2,,STANFORD,5/19/2026,,,13.8,4126.2,258,41,NEW,XS / 48,S / 100,M / 90,L / 47,XL / 14,,,,,,,,,,
137,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,117,NUULY,NUULY,6811503,0,SS26,26-Jun,DRESSES,Style,CD1048,YELLOW PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.8,27.6,,STANFORD,5/19/2026,,,13.8,27.6,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
138,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,118,NUULY,NUULY,6811511,0,SS26,26-Jun,DRESSES,Style,CD1065,FUCHSIA,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,32,66,60,32,9,0,0,0,0,0,0,0,0,0,0,199,15.82,3148.18,,STANFORD,5/19/2026,,,15.82,3148.18,203,-4,NEW,XS / 32,S / 66,M / 60,L / 32,XL / 9,,,,,,,,,,
139,4/21/2026,5/19/2026,STENUE,4/24/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,119,NUULY,NUULY,6811512,0,SS26,26-Jun,DRESSES,Style,CD1065,FUCHSIA,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,48,100,90,47,14,0,0,0,0,0,0,0,0,0,0,299,15.82,4730.18,,STANFORD,5/19/2026,,,15.82,4730.18,304,-5,NEW,XS / 48,S / 100,M / 90,L / 47,XL / 14,,,,,,,,,,
140,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,120,NUULY,NUULY,6811513,0,SS26,26-Jun,DRESSES,Style,CD1065,FUCHSIA,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.82,31.64,,STANFORD,5/19/2026,,,15.82,31.64,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
141,4/21/2026,5/19/2026,STENUE,4/28/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,121,NUULY,NUULY,6811514,0,SS26,26-May,DRESSES,Style,CDT1061,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,12,30,29,14,4,0,0,0,0,0,0,0,0,0,0,89,15.6,1388.4,,STANFORD,5/19/2026,,,15.6,1388.4,88,1,NEW,XS / 12,S / 30,M / 29,L / 14,XL / 4,,,,,,,,,,
142,4/21/2026,5/19/2026,STENUE,4/28/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,122,NUULY,NUULY,6811515,0,SS26,26-May,DRESSES,Style,CDT1061,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,21,53,51,26,8,0,0,0,0,0,0,0,0,0,0,159,15.6,2480.4,,STANFORD,5/19/2026,,,15.6,2480.4,133,26,NEW,XS / 21,S / 53,M / 51,L / 26,XL / 8,,,,,,,,,,
143,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,123,NUULY,NUULY,6811516,0,SS26,26-May,DRESSES,Style,CDT1061,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.6,31.2,,STANFORD,5/19/2026,,,15.6,31.2,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
144,4/21/2026,5/19/2026,STENUE,4/27/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,124,NUULY,NUULY,6811517,0,SS26,26-May,SETS,Style,CS1061,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,13,31,28,14,3,0,0,0,0,0,0,0,0,0,0,89,8.2,729.8,,STANFORD,5/19/2026,,,8.2,729.8,87,2,NEW,XS / 13,S / 31,M / 28,L / 14,XL / 3,,,,,,,,,,
145,4/21/2026,5/19/2026,STENUE,4/27/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,125,NUULY,NUULY,6811518,0,SS26,26-May,SETS,Style,CS1061,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,24,54,50,26,5,0,0,0,0,0,0,0,0,0,0,159,8.2,1303.8,,STANFORD,5/19/2026,,,8.2,1303.8,159,0,NEW,XS / 24,S / 54,M / 50,L / 26,XL / 5,,,,,,,,,,
146,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,126,NUULY,NUULY,6811530,0,SS26,26-May,SETS,Style,CS1061,WHITE,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.2,16.4,,STANFORD,5/19/2026,,,8.2,16.4,2,0,NEW,XS / 1,S / 1,M / 0,L / 0,XL / 0,,,,,,,,,,
147,4/1/2026,7/16/2026,STENUE,1/1/1900,Open,PO,,,,,,,6/18/2026,7/16/2026,6/18/2026,ELEVATOR DISCO,                    ,1371,NUULY,NUULY,7067831,0,FW26,26-Aug,DRESSES,Style,EVD1078,LIGHT BROWN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,7,16,14,8,0,0,0,0,0,0,0,0,0,0,0,45,17.6,792,,STANFORD,7/16/2026,,,0,0,0,45,NEW,XS / 7,S / 16,M / 14,L / 8,XL / 0,,,,,,,,,,
148,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,135,LULUS,LULU'S FASHION LOUNGE,218737,0,                    ,LULUS,                    ,Style,ED1377,NAVY BLUE,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,10,63,136,120,41,30,0,0,0,0,0,0,0,0,0,400,12,4800,,STANFORD,5/19/2026,,,12,4800,386,14,COLOR ADD,XXS / 10,XS / 63,S / 136,M / 120,L / 41,XL / 30,XXL / 0,,,,,,,,
149,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,140,LULUS,LULU'S FASHION LOUNGE,219192,0,                    ,LULUS,                    ,Style,ED1649D,LAVENDER BLUE ORANGE,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,47,87,113,59,30,14,0,0,0,0,0,0,0,0,350,11.2,3920,,STANFORD,5/19/2026,,,11.2,3920,364,-14,NEW,XXS / 0,XS / 47,S / 87,M / 113,L / 59,XL / 30,XXL / 14,,,,,,,,
150,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,142,LULUS,LULU'S FASHION LOUNGE,219633,0,                    ,LULUS,                    ,Style,SET8142,IVORY BLUE,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,17,91,57,29,6,0,0,0,0,0,0,0,0,0,200,0,0,,STANFORD,5/19/2026,,,0,0,206,-6,NEW,XXS / 0,XS / 17,S / 91,M / 57,L / 29,XL / 6,XXL / 0,,,,,,,,
151,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,139,LULUS,LULU'S FASHION LOUNGE,219191,0,                    ,LULUS,                    ,Style,SET8161A,BLACK GROUND FLORAL,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,20,56,100,116,38,20,0,0,0,0,0,0,0,0,0,350,18,6300,,STANFORD,5/19/2026,,,18,6300,353,-3,NEW,XXS / 20,XS / 56,S / 100,M / 116,L / 38,XL / 20,XXL / 0,,,,,,,,
152,4/21/2026,5/19/2026,STENUE,4/21/2026,Closed,PO,,,,,,,4/21/2026,5/19/2026,4/21/2026,ELEVATOR DISCO,                    ,144,LULUS,LULU'S FASHION LOUNGE,219814,0,                    ,LULUS,                    ,Style,ED1377,NAVY BLUE,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,10,62,136,123,39,30,0,0,0,0,0,0,0,0,0,400,12,4800,,STANFORD,5/19/2026,,,12,4800,400,0,NEW,XXS / 10,XS / 62,S / 136,M / 123,L / 39,XL / 30,XXL / 0,,,,,,,,
