poNo,poDate,etaDate,vendor,recDate,status,cutPo,user1,user2,user3,user4,user5,user6,startDate,cancelDate,shipDate,division,shipVia,orderNo,customer,custName,customerPo,parentPoNo,season,grp,category,compType,style,color,podStatus,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,totalUnit,price,extPrice,uom,warehouse,podEtaDate,cancelReason,cancelReasonDate,cost,extCost,recQty,balQty,soType,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15
12,4/17/2026,5/15/2026,STENUE,4/17/2026,Closed,PO,,,,,,,4/17/2026,5/15/2026,4/17/2026,ELEVATOR DISCO,                    ,67,NUULY,NUULY,6786297,0,SS26,26-Jun,DRESSES,Style,CD1051,BROWN,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,22,46,42,22,6,0,0,0,0,0,0,0,0,0,0,138,17.9,2470.2,,STANFORD,5/15/2026,,,17.9,2470.2,138,0,NEW,XS / 22,S / 46,M / 42,L / 22,XL / 6,,,,,,,,,,
13,4/20/2026,5/18/2026,STENUE,4/23/2026,Closed,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,61,NUULY,NUULY,6786282,0,SS26,26-May,DRESSES,Style,CD1004,PINK,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,19,40,36,19,6,0,0,0,0,0,0,0,0,0,0,120,20.1,2412,,STANFORD,5/18/2026,,,20.1,2412,117,3,NEW,XS / 19,S / 40,M / 36,L / 19,XL / 6,,,,,,,,,,
14,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,7,ANTHROPOLOGIE,ANTHROPOLOGIE,6764605,0,SS26,26-May,DRESSES,Style,ESWD5332,PINK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,13,28,364,,STANFORD,5/18/2026,,,0,0,0,13,NEW,XS / 2,S / 3,M / 3,L / 3,XL / 2,,,,,,,,,,
15,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,7,ANTHROPOLOGIE,ANTHROPOLOGIE,6764605,0,SS26,26-May,DRESSES,Style,ESWD5332PT,PINK,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,16,28,448,,STANFORD,5/18/2026,,,28,448,0,16,NEW,XS PT / 4,S PT / 4,M PT / 4,L PT / 2,XL PT / 2,,,,,,,,,,
16,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,7,ANTHROPOLOGIE,ANTHROPOLOGIE,6764605,0,SS26,26-May,DRESSES,Style,ESWD5332PL,PINK,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,13,29.5,383.5,,STANFORD,5/18/2026,,,29.5,383.5,0,13,NEW,1X / 6,2X / 5,3X / 2,,,,,,,,,,,,
17,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,8,ANTHROPOLOGIE,ANTHROPOLOGIE,6764606,0,SS26,26-May,DRESSES,Style,ESWD5332,PINK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,9,14,14,8,4,0,0,0,0,0,0,0,0,0,0,49,0,0,,STANFORD,5/18/2026,,,0,0,0,49,NEW,XS / 9,S / 14,M / 14,L / 8,XL / 4,,,,,,,,,,
18,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,8,ANTHROPOLOGIE,ANTHROPOLOGIE,6764606,0,SS26,26-May,DRESSES,Style,ESWD5332PL,PINK,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,39,29.5,1150.5,,STANFORD,5/18/2026,,,29.5,1150.5,0,39,NEW,1X / 17,2X / 14,3X / 8,,,,,,,,,,,,
19,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,8,ANTHROPOLOGIE,ANTHROPOLOGIE,6764606,0,SS26,26-May,DRESSES,Style,ESWD5332PT,PINK,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,13,16,13,7,3,0,0,0,0,0,0,0,0,0,0,52,28,1456,,STANFORD,5/18/2026,,,28,1456,0,52,NEW,XS PT / 13,S PT / 16,M PT / 13,L PT / 7,XL PT / 3,,,,,,,,,,
20,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,9,ANTHROPOLOGIE,ANTHROPOLOGIE,6764607,0,SS26,26-Jun,DRESSES,Style,CD1020,PINK CREAM,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,8,8,5,4,0,0,0,0,0,0,0,0,0,0,30,14.6,438,,STANFORD,5/18/2026,,,14.6,438,0,30,NEW,XS / 5,S / 8,M / 8,L / 5,XL / 4,,,,,,,,,,
21,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,10,ANTHROPOLOGIE,ANTHROPOLOGIE,6764608,0,SS26,26-Jun,DRESSES,Style,CD1020,PINK CREAM,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,7,13,12,9,4,0,0,0,0,0,0,0,0,0,0,45,14.6,657,,STANFORD,5/18/2026,,,14.6,657,0,45,NEW,XS / 7,S / 13,M / 12,L / 9,XL / 4,,,,,,,,,,
